"","KO","trinity","path"
"15705","K00383","TRINITY_DN6688_c0_g1_i3","ko00480"
"15706","K00383","TRINITY_DN6688_c0_g2_i1","ko00480"
"15707","K22182","TRINITY_DN6688_c0_g3_i1","ko00450"
"15712","K03595","TRINITY_DN6640_c0_g1_i1","NA"
"15714","K12603","TRINITY_DN6668_c3_g2_i1","ko03018"
"15715","K04523","TRINITY_DN6668_c1_g1_i2","ko04141"
"15717","K06916","TRINITY_DN6684_c0_g1_i6","NA"
"15718","K09512","TRINITY_DN6682_c0_g1_i1","NA"
"15720","K01511","TRINITY_DN6690_c1_g1_i3","ko00230"
"15721","K18328","TRINITY_DN6690_c0_g1_i10","NA"
"15725","K04874","TRINITY_DN6606_c0_g3_i1","NA"
"15727","K16473","TRINITY_DN6664_c0_g1_i1","NA"
"15728","K13280","TRINITY_DN6611_c0_g1_i2","ko03060"
"15730","K19562","TRINITY_DN10856_c0_g1_i1","ko00780"
"15733","K17816","TRINITY_DN6614_c0_g1_i2","NA"
"15740","K10408","TRINITY_DN44446_c0_g1_i1","ko05016"
"15744","K12191","TRINITY_DN44452_c0_g1_i1","ko04144"
"15746","K12275","TRINITY_DN44459_c0_g1_i1","ko03060"
"15759","K06822","TRINITY_DN44431_c0_g1_i1","NA"
"15760","K22614","TRINITY_DN29147_c0_g1_i4","NA"
"15761","K14326","TRINITY_DN10881_c0_g3_i1","ko03013"
"15764","K12618","TRINITY_DN29190_c0_g1_i1","ko03008"
"15772","K10405","TRINITY_DN36480_c0_g1_i1","NA"
"15775","K23424","TRINITY_DN36466_c0_g1_i1","NA"
"15778","K00757","TRINITY_DN36411_c0_g1_i1","ko00240"
"15779","K05658","TRINITY_DN36408_c0_g1_i1","ko02010"
"15786","K10206","TRINITY_DN36477_c0_g1_i1","ko00300"
"15791","K00616","TRINITY_DN36455_c0_g1_i1","ko00030"
"15792","K03872","TRINITY_DN36419_c0_g1_i1","ko04066"
"15794","K02183","TRINITY_DN10814_c0_g1_i1","ko04014"
"15796","K15505","TRINITY_DN36427_c0_g1_i1","NA"
"15799","K23460","TRINITY_DN36481_c0_g1_i1","NA"
"15802","K09571","TRINITY_DN10402_c0_g1_i1","ko04915"
"15807","K08857","TRINITY_DN10462_c0_g1_i3","NA"
"15808","K20784","TRINITY_DN10495_c0_g1_i1","ko00514"
"15810","K18749","TRINITY_DN10457_c0_g1_i4","NA"
"15814","K20165","TRINITY_DN10475_c3_g1_i3","NA"
"15815","K11417","TRINITY_DN10475_c2_g1_i2","NA"
"15817","K05544","TRINITY_DN10441_c0_g1_i4","NA"
"15818","K05544","TRINITY_DN10441_c0_g2_i1","NA"
"15821","K12567","TRINITY_DN10430_c0_g2_i1","ko05410"
"15824","K03969","TRINITY_DN10482_c0_g1_i1","NA"
"15830","K09509","TRINITY_DN10456_c0_g1_i1","NA"
"15831","K15370","TRINITY_DN10465_c0_g1_i3","NA"
"15835","K01626","TRINITY_DN10419_c0_g1_i3","ko00400"
"15841","K08333","TRINITY_DN10490_c0_g1_i1","ko04136"
"15842","K03152","TRINITY_DN10451_c0_g2_i1","NA"
"15843","K13171","TRINITY_DN10461_c0_g1_i1","ko03013"
"15846","K00800","TRINITY_DN10437_c0_g1_i4","ko00400"
"15860","K01186","TRINITY_DN10412_c0_g1_i1","ko00511"
"15863","K22614","TRINITY_DN10405_c0_g1_i4","NA"
"15864","K00163","TRINITY_DN10405_c0_g2_i1","ko00010"
"15867","K12604","TRINITY_DN10826_c0_g5_i1","ko03018"
"15868","K14794","TRINITY_DN10435_c3_g1_i1","NA"
"15870","K11314","TRINITY_DN10435_c1_g1_i1","NA"
"15871","K16675","TRINITY_DN10435_c2_g1_i3","ko04391"
"15873","K08714","TRINITY_DN10417_c1_g1_i1","NA"
"15875","K15112","TRINITY_DN10425_c0_g1_i1","NA"
"15877","K01354","TRINITY_DN10826_c0_g1_i1","ko05142"
"15879","K08736","TRINITY_DN10439_c0_g3_i2","ko01524"
"15886","K06252","TRINITY_DN10468_c3_g3_i1","ko04151"
"15887","K06252","TRINITY_DN10468_c3_g2_i2","ko04151"
"15890","K06252","TRINITY_DN10468_c1_g1_i4","ko04151"
"15891","K02974","TRINITY_DN10468_c2_g1_i2","ko03010"
"15897","K12493","TRINITY_DN10496_c0_g1_i1","ko04144"
"15899","K15692","TRINITY_DN10851_c0_g1_i1","NA"
"15907","K01379","TRINITY_DN10458_c0_g1_i1","ko04071"
"15908","K08287","TRINITY_DN10486_c0_g1_i5","NA"
"15911","K16748","TRINITY_DN10494_c0_g1_i1","NA"
"15912","K10357","TRINITY_DN41293_c0_g1_i1","NA"
"15913","K00121","TRINITY_DN41212_c0_g1_i1","ko00010"
"15914","K15100","TRINITY_DN41255_c0_g1_i1","NA"
"15918","K03676","TRINITY_DN41211_c0_g1_i1","NA"
"15922","K09584","TRINITY_DN41235_c0_g1_i1","ko04141"
"15923","K02885","TRINITY_DN41270_c0_g1_i1","ko03010"
"15935","K03165","TRINITY_DN18532_c0_g1_i1","ko03440"
"15936","K05970","TRINITY_DN28633_c0_g1_i2","NA"
"15939","K15694","TRINITY_DN28628_c0_g2_i1","ko04310"
"15942","K05011","TRINITY_DN28671_c0_g1_i1","ko04978"
"15948","K14856","TRINITY_DN28632_c0_g1_i1","NA"
"15950","K12824","TRINITY_DN28698_c0_g1_i1","ko03040"
"15964","K07299","TRINITY_DN17021_c0_g1_i1","ko04066"
"15965","K10356","TRINITY_DN17076_c0_g1_i2","NA"
"15966","K16794","TRINITY_DN17086_c0_g1_i2","ko00565"
"15979","K00728","TRINITY_DN17070_c0_g1_i1","ko00514"
"15980","K23398","TRINITY_DN17002_c0_g1_i1","NA"
"15981","K06171","TRINITY_DN17013_c0_g1_i3","ko04330"
"15986","K13220","TRINITY_DN18578_c0_g3_i1","NA"
"15987","K02183","TRINITY_DN17056_c0_g2_i1","ko04014"
"15988","K18457","TRINITY_DN17066_c0_g1_i1","NA"
"15989","K10408","TRINITY_DN17082_c0_g1_i1","ko05016"
"15993","K14291","TRINITY_DN17044_c0_g1_i4","ko03013"
"15997","K01276","TRINITY_DN18578_c3_g1_i1","NA"
"15998","K03145","TRINITY_DN17007_c0_g1_i5","NA"
"16001","K02178","TRINITY_DN17067_c0_g1_i1","ko04110"
"16007","K13216","TRINITY_DN17029_c0_g1_i1","NA"
"16021","K02872","TRINITY_DN17035_c0_g1_i1","ko03010"
"16023","K00855","TRINITY_DN17052_c0_g1_i4","ko00710"
"16029","K12823","TRINITY_DN26604_c0_g1_i1","ko03040"
"16031","K12591","TRINITY_DN18544_c0_g1_i1","ko03018"
"16032","K20521","TRINITY_DN26692_c0_g1_i1","NA"
"16033","K10408","TRINITY_DN26682_c0_g1_i1","ko05016"
"16038","K12591","TRINITY_DN18544_c0_g2_i1","ko03018"
"16039","K07542","TRINITY_DN26605_c0_g1_i1","ko00563"
"16041","K00476","TRINITY_DN26649_c0_g1_i1","ko04020"
"16043","K18419","TRINITY_DN26619_c0_g1_i1","NA"
"16045","K06689","TRINITY_DN6793_c0_g1_i1","ko04013"
"16046","K15744","TRINITY_DN6777_c0_g1_i1","ko00906"
"16051","K01883","TRINITY_DN6779_c0_g1_i1","ko00970"
"16058","K14294","TRINITY_DN6726_c0_g1_i1","ko03013"
"16061","K15356","TRINITY_DN6704_c0_g1_i3","NA"
"16066","K12030","TRINITY_DN18573_c0_g3_i1","NA"
"16068","K00248","TRINITY_DN6771_c0_g1_i2","ko00071"
"16069","K12877","TRINITY_DN6731_c0_g1_i2","ko03013"
"16071","K19502","TRINITY_DN6750_c0_g1_i3","NA"
"16078","K00599","TRINITY_DN6715_c0_g1_i2","NA"
"16081","K01135","TRINITY_DN6729_c0_g1_i1","ko00531"
"16086","K02213","TRINITY_DN6721_c0_g2_i1","ko04110"
"16089","K05542","TRINITY_DN6721_c1_g3_i3","NA"
"16094","K05312","TRINITY_DN18502_c0_g1_i1","NA"
"16095","K01487","TRINITY_DN6795_c0_g1_i3","ko00230"
"16096","K11593","TRINITY_DN6712_c0_g1_i6","NA"
"16098","K15015","TRINITY_DN6797_c0_g1_i1","ko04721"
"16100","K02691","TRINITY_DN6738_c0_g1_i4","ko00195"
"16105","K04804","TRINITY_DN18502_c0_g2_i1","ko04080"
"16110","K01674","TRINITY_DN6701_c0_g1_i1","ko00910"
"16116","K20182","TRINITY_DN6705_c0_g1_i1","ko04138"
"16119","K09570","TRINITY_DN6769_c0_g1_i1","NA"
"16120","K08794","TRINITY_DN6759_c0_g1_i1","ko04020"
"16122","K03327","TRINITY_DN6727_c0_g1_i1","NA"
"16124","K03127","TRINITY_DN6714_c0_g1_i1","ko03022"
"16125","K00563","TRINITY_DN6020_c0_g1_i4","NA"
"16130","K23460","TRINITY_DN6714_c1_g1_i5","NA"
"16140","K14411","TRINITY_DN6717_c0_g1_i1","ko03015"
"16145","K02206","TRINITY_DN6754_c2_g1_i1","ko04068"
"16148","K14267","TRINITY_DN6728_c0_g1_i3","ko00300"
"16152","K06215","TRINITY_DN6724_c0_g1_i5","ko00750"
"16153","K12856","TRINITY_DN6778_c0_g1_i2","ko03040"
"16154","K12856","TRINITY_DN6778_c0_g2_i1","ko03040"
"16155","K11416","TRINITY_DN6767_c0_g1_i2","ko04714"
"16159","K01315","TRINITY_DN19969_c0_g1_i1","ko04080"
"16160","K01315","TRINITY_DN19969_c0_g2_i1","ko04080"
"16161","K01166","TRINITY_DN19969_c0_g3_i2","NA"
"16162","K01915","TRINITY_DN19965_c0_g1_i1","ko00220"
"16170","K15361","TRINITY_DN19902_c0_g1_i2","ko03460"
"16173","K01301","TRINITY_DN19950_c0_g2_i1","NA"
"16176","K08835","TRINITY_DN19986_c0_g1_i1","NA"
"16183","K12486","TRINITY_DN19936_c0_g1_i1","ko04144"
"16189","K13433","TRINITY_DN19984_c0_g1_i1","ko04626"
"16193","K10595","TRINITY_DN19966_c3_g1_i1","ko04120"
"16194","K10758","TRINITY_DN19966_c0_g1_i1","NA"
"16205","K15191","TRINITY_DN6020_c0_g2_i1","NA"
"16206","K10408","TRINITY_DN18583_c0_g1_i1","ko05016"
"16211","K09586","TRINITY_DN24754_c0_g1_i1","ko04141"
"16215","K02375","TRINITY_DN24788_c0_g1_i1","ko04150"
"16221","K01239","TRINITY_DN18571_c0_g1_i1","ko00230"
"16227","K15112","TRINITY_DN43156_c0_g1_i1","NA"
"16234","K16536","TRINITY_DN43102_c0_g1_i1","NA"
"16236","K05205","TRINITY_DN43113_c0_g1_i1","ko04080"
"16244","K00052","TRINITY_DN43145_c0_g1_i1","ko00290"
"16247","K05863","TRINITY_DN43197_c0_g1_i1","ko04020"
"16257","K11857","TRINITY_DN32967_c0_g1_i1","NA"
"16272","K12168","TRINITY_DN24501_c0_g3_i1","NA"
"16274","K17583","TRINITY_DN24554_c0_g1_i1","NA"
"16278","K12619","TRINITY_DN24597_c0_g1_i1","ko03008"
"16279","K02940","TRINITY_DN24537_c0_g1_i1","ko03010"
"16287","K03327","TRINITY_DN23817_c0_g1_i1","NA"
"16293","K01199","TRINITY_DN23833_c0_g1_i1","ko00500"
"16301","K00927","TRINITY_DN23813_c0_g1_i1","ko00010"
"16302","K15109","TRINITY_DN23854_c0_g1_i1","ko04714"
"16309","K16466","TRINITY_DN23825_c0_g1_i2","NA"
"16311","K01934","TRINITY_DN23815_c0_g1_i1","ko00670"
"16316","K01322","TRINITY_DN23889_c0_g1_i1","ko04614"
"16325","K09480","TRINITY_DN23831_c0_g1_i1","ko00561"
"16328","K22745","TRINITY_DN23832_c0_g1_i1","ko04115"
"16333","K01870","TRINITY_DN23836_c0_g1_i4","ko00970"
"16334","K14792","TRINITY_DN23848_c0_g1_i1","NA"
"16338","K11842","TRINITY_DN21726_c0_g1_i1","NA"
"16344","K04515","TRINITY_DN21747_c0_g1_i1","ko04012"
"16345","K03654","TRINITY_DN21775_c0_g2_i1","ko03018"
"16351","K08869","TRINITY_DN21745_c0_g1_i4","NA"
"16352","K07427","TRINITY_DN21743_c0_g1_i1","NA"
"16361","K00725","TRINITY_DN21754_c0_g2_i1","ko00604"
"16364","K08497","TRINITY_DN21781_c0_g1_i1","ko04130"
"16366","K03163","TRINITY_DN435_c5_g1_i1","NA"
"16370","K04975","TRINITY_DN435_c0_g2_i1","ko04970"
"16373","K12837","TRINITY_DN435_c1_g1_i5","ko03040"
"16374","K13094","TRINITY_DN435_c2_g1_i3","NA"
"16375","K16603","TRINITY_DN449_c0_g1_i1","NA"
"16376","K16603","TRINITY_DN449_c0_g2_i1","NA"
"16377","K15272","TRINITY_DN404_c0_g1_i1","NA"
"16384","K01883","TRINITY_DN496_c0_g2_i2","ko00970"
"16398","K11269","TRINITY_DN417_c5_g1_i1","NA"
"16399","K11262","TRINITY_DN18513_c0_g1_i1","ko00061"
"16403","K11434","TRINITY_DN417_c3_g1_i2","ko04068"
"16404","K07574","TRINITY_DN417_c4_g1_i1","NA"
"16405","K11434","TRINITY_DN417_c3_g3_i1","ko04068"
"16408","K07984","TRINITY_DN417_c2_g1_i2","ko04650"
"16410","K11262","TRINITY_DN18513_c0_g2_i1","ko00061"
"16412","K20092","TRINITY_DN417_c4_g2_i1","NA"
"16422","K18327","TRINITY_DN418_c0_g2_i3","NA"
"16423","K03267","TRINITY_DN418_c0_g3_i1","ko03015"
"16426","K10798","TRINITY_DN418_c1_g2_i1","ko03410"
"16427","K10798","TRINITY_DN418_c1_g1_i1","ko03410"
"16431","K20889","TRINITY_DN491_c0_g2_i1","NA"
"16432","K20889","TRINITY_DN491_c0_g3_i1","NA"
"16435","K08741","TRINITY_DN491_c2_g1_i1","NA"
"16437","K14016","TRINITY_DN464_c0_g1_i1","ko04141"
"16441","K19760","TRINITY_DN464_c1_g1_i7","NA"
"16442","K10676","TRINITY_DN464_c2_g1_i2","ko00361"
"16446","K17570","TRINITY_DN492_c2_g2_i1","NA"
"16449","K00939","TRINITY_DN492_c2_g1_i1","ko00230"
"16454","K13706","TRINITY_DN447_c2_g1_i2","NA"
"16462","K10408","TRINITY_DN18595_c0_g1_i1","ko05016"
"16463","K15272","TRINITY_DN460_c0_g1_i4","NA"
"16464","K15272","TRINITY_DN460_c0_g2_i1","NA"
"16465","K10408","TRINITY_DN487_c0_g4_i1","ko05016"
"16466","K10408","TRINITY_DN487_c0_g5_i1","ko05016"
"16467","K10408","TRINITY_DN487_c0_g1_i3","ko05016"
"16468","K10408","TRINITY_DN487_c0_g2_i2","ko05016"
"16469","K10408","TRINITY_DN487_c0_g3_i1","ko05016"
"16470","K10408","TRINITY_DN487_c5_g1_i1","ko05016"
"16471","K10408","TRINITY_DN487_c2_g2_i1","ko05016"
"16475","K17263","TRINITY_DN487_c1_g1_i6","NA"
"16476","K10408","TRINITY_DN487_c2_g1_i2","ko05016"
"16478","K08824","TRINITY_DN415_c0_g1_i2","NA"
"16480","K04977","TRINITY_DN415_c3_g1_i3","ko04621"
"16483","K05236","TRINITY_DN415_c1_g2_i4","NA"
"16484","K08595","TRINITY_DN18504_c1_g1_i1","NA"
"16486","K00799","TRINITY_DN415_c2_g1_i1","ko00480"
"16488","K03403","TRINITY_DN488_c5_g1_i1","ko00860"
"16489","K02945","TRINITY_DN488_c0_g1_i2","ko03010"
"16491","K02933","TRINITY_DN488_c0_g3_i1","ko03010"
"16496","K10590","TRINITY_DN488_c10_g1_i1","ko04120"
"16501","K09186","TRINITY_DN488_c2_g1_i4","ko00310"
"16503","K03242","TRINITY_DN488_c8_g1_i1","ko03013"
"16504","K10595","TRINITY_DN419_c1_g3_i1","ko04120"
"16506","K08818","TRINITY_DN419_c1_g2_i1","NA"
"16507","K10594","TRINITY_DN419_c1_g1_i4","ko04120"
"16509","K04371","TRINITY_DN419_c0_g2_i1","ko01521"
"16516","K10798","TRINITY_DN426_c0_g1_i7","ko03410"
"16517","K01254","TRINITY_DN475_c0_g1_i1","ko00590"
"16522","K16582","TRINITY_DN405_c0_g1_i2","NA"
"16523","K15210","TRINITY_DN451_c0_g1_i1","NA"
"16527","K11806","TRINITY_DN423_c0_g1_i1","NA"
"16532","K05387","TRINITY_DN454_c0_g1_i1","NA"
"16534","K19680","TRINITY_DN483_c0_g1_i2","NA"
"16541","K04523","TRINITY_DN483_c2_g1_i2","ko04141"
"16545","K14776","TRINITY_DN453_c1_g1_i1","NA"
"16549","K07407","TRINITY_DN453_c0_g2_i1","ko00052"
"16552","K18678","TRINITY_DN472_c3_g1_i2","NA"
"16555","K00845","TRINITY_DN493_c0_g1_i2","ko00010"
"16556","K02940","TRINITY_DN450_c0_g1_i2","ko03010"
"16561","K09530","TRINITY_DN416_c3_g1_i1","ko04141"
"16562","K05236","TRINITY_DN416_c1_g1_i4","NA"
"16564","K03977","TRINITY_DN471_c0_g1_i1","NA"
"16576","K21871","TRINITY_DN409_c6_g1_i1","NA"
"16578","K22762","TRINITY_DN407_c1_g3_i1","NA"
"16598","K17878","TRINITY_DN410_c2_g1_i1","NA"
"16599","K10839","TRINITY_DN410_c8_g1_i1","ko03420"
"16600","K02991","TRINITY_DN400_c0_g1_i1","ko01521"
"16601","K03531","TRINITY_DN446_c0_g1_i1","ko04112"
"16615","K13412","TRINITY_DN495_c0_g1_i1","ko04626"
"16627","K01490","TRINITY_DN442_c0_g1_i3","ko00230"
"16630","K11968","TRINITY_DN432_c0_g1_i2","NA"
"16639","K01179","TRINITY_DN33727_c0_g1_i1","ko00500"
"16640","K20782","TRINITY_DN452_c0_g1_i1","ko00514"
"16646","K03574","TRINITY_DN414_c4_g2_i1","NA"
"16647","K05389","TRINITY_DN414_c2_g1_i3","NA"
"16649","K15283","TRINITY_DN486_c0_g1_i2","NA"
"16651","K15283","TRINITY_DN486_c0_g2_i3","NA"
"16652","K15283","TRINITY_DN486_c0_g3_i4","NA"
"16653","K17496","TRINITY_DN486_c1_g1_i1","NA"
"16656","K01958","TRINITY_DN459_c2_g1_i4","ko00020"
"16659","K01895","TRINITY_DN473_c0_g2_i1","ko00010"
"16660","K00771","TRINITY_DN473_c3_g1_i3","ko00532"
"16663","K02934","TRINITY_DN436_c1_g1_i1","ko03010"
"16666","K16478","TRINITY_DN22940_c0_g1_i1","NA"
"16672","K15192","TRINITY_DN22902_c0_g1_i1","NA"
"16679","K14538","TRINITY_DN22936_c0_g1_i1","ko03008"
"16682","K19938","TRINITY_DN22973_c0_g1_i1","NA"
"16689","K12618","TRINITY_DN22920_c0_g1_i1","ko03008"
"16696","K03932","TRINITY_DN21443_c0_g1_i1","NA"
"16697","K12821","TRINITY_DN21402_c0_g1_i1","ko03040"
"16701","K02987","TRINITY_DN21484_c0_g1_i1","ko03010"
"16708","K17584","TRINITY_DN21412_c0_g1_i4","NA"
"16712","K02960","TRINITY_DN21425_c0_g2_i1","ko03010"
"16714","K15121","TRINITY_DN21404_c0_g1_i1","NA"
"16716","K01225","TRINITY_DN33734_c0_g1_i1","ko00500"
"16721","K00729","TRINITY_DN21403_c0_g1_i1","ko00510"
"16725","K15196","TRINITY_DN21463_c0_g1_i1","NA"
"16736","K13126","TRINITY_DN42840_c0_g1_i1","ko03013"
"16741","K03648","TRINITY_DN42882_c0_g1_i1","ko03410"
"16745","K07126","TRINITY_DN42843_c0_g1_i1","NA"
"16752","K08582","TRINITY_DN42836_c0_g1_i1","NA"
"16759","K07573","TRINITY_DN42852_c0_g1_i1","ko03018"
"16764","K01456","TRINITY_DN42808_c0_g1_i1","ko04141"
"16774","K22139","TRINITY_DN39999_c0_g1_i1","NA"
"16776","K03086","TRINITY_DN39994_c0_g1_i1","NA"
"16778","K10297","TRINITY_DN39906_c0_g1_i1","NA"
"16781","K22372","TRINITY_DN39979_c0_g1_i1","NA"
"16788","K11363","TRINITY_DN39993_c0_g1_i1","NA"
"16789","K02834","TRINITY_DN39973_c0_g1_i1","NA"
"16792","K02113","TRINITY_DN35067_c0_g1_i1","ko00190"
"16796","K08903","TRINITY_DN35022_c0_g2_i1","ko00195"
"16808","K13293","TRINITY_DN35090_c0_g1_i1","ko00230"
"16810","K17361","TRINITY_DN35019_c0_g1_i1","NA"
"16813","K20298","TRINITY_DN35036_c0_g1_i1","NA"
"16815","K01875","TRINITY_DN35033_c0_g1_i1","ko00970"
"16818","K19671","TRINITY_DN35021_c0_g1_i1","NA"
"16821","K13427","TRINITY_DN35028_c0_g1_i1","ko00220"
"16823","K18666","TRINITY_DN35073_c0_g1_i1","NA"
"16832","K02981","TRINITY_DN26336_c0_g1_i1","ko03010"
"16837","K12397","TRINITY_DN26309_c0_g1_i1","ko04142"
"16840","K10356","TRINITY_DN26357_c0_g1_i1","NA"
"16844","K15542","TRINITY_DN26344_c0_g1_i1","ko03015"
"16845","K21552","TRINITY_DN26320_c0_g1_i1","NA"
"16855","K13240","TRINITY_DN37328_c0_g1_i1","ko00220"
"16860","K07407","TRINITY_DN37313_c0_g1_i1","ko00052"
"16863","K15713","TRINITY_DN37346_c0_g1_i1","NA"
"16865","K00558","TRINITY_DN7711_c0_g1_i2","ko00270"
"16874","K07447","TRINITY_DN7728_c0_g1_i1","NA"
"16876","K19678","TRINITY_DN7757_c0_g1_i1","NA"
"16882","K11838","TRINITY_DN7751_c0_g1_i1","ko04068"
"16883","K05539","TRINITY_DN19573_c1_g1_i3","NA"
"16891","K14445","TRINITY_DN7784_c0_g2_i1","NA"
"16894","K09550","TRINITY_DN7763_c0_g1_i2","NA"
"16897","K09490","TRINITY_DN7747_c0_g1_i1","ko03060"
"16898","K09490","TRINITY_DN7747_c0_g2_i1","ko03060"
"16907","K20781","TRINITY_DN7738_c0_g1_i1","ko00514"
"16910","K06269","TRINITY_DN7758_c0_g1_i1","ko03015"
"16912","K11863","TRINITY_DN7706_c0_g1_i1","ko04141"
"16913","K09611","TRINITY_DN7727_c0_g1_i1","NA"
"16915","K01193","TRINITY_DN7730_c0_g1_i3","ko00052"
"16917","K00147","TRINITY_DN7775_c0_g1_i1","ko00330"
"16925","K02148","TRINITY_DN6038_c0_g1_i2","ko00190"
"16927","K00911","TRINITY_DN7721_c0_g1_i2","ko00562"
"16930","K22736","TRINITY_DN7789_c0_g1_i3","NA"
"16931","K22193","TRINITY_DN7765_c0_g2_i1","NA"
"16936","K15445","TRINITY_DN19530_c0_g1_i1","NA"
"16937","K20822","TRINITY_DN7725_c0_g1_i1","NA"
"16938","K00965","TRINITY_DN7799_c0_g1_i3","ko00052"
"16942","K12405","TRINITY_DN7741_c0_g1_i3","ko00120"
"16951","K11713","TRINITY_DN7705_c0_g1_i2","NA"
"16954","K03704","TRINITY_DN7743_c3_g1_i5","NA"
"16955","K02183","TRINITY_DN19507_c0_g1_i1","ko04014"
"16959","K18163","TRINITY_DN15485_c0_g1_i1","ko04714"
"16961","K16538","TRINITY_DN15449_c0_g1_i1","NA"
"16967","K14765","TRINITY_DN15455_c0_g1_i1","NA"
"16973","K14439","TRINITY_DN19537_c0_g1_i1","ko04550"
"16979","K12618","TRINITY_DN15465_c1_g1_i2","ko03008"
"16980","K12619","TRINITY_DN15465_c0_g1_i4","ko03008"
"16981","K12619","TRINITY_DN15465_c0_g2_i1","ko03008"
"16990","K15283","TRINITY_DN15431_c0_g1_i1","NA"
"17002","K11665","TRINITY_DN19537_c2_g2_i1","NA"
"17011","K20092","TRINITY_DN19537_c2_g1_i1","NA"
"17030","K07407","TRINITY_DN15466_c0_g1_i1","ko00052"
"17035","K19355","TRINITY_DN15400_c0_g1_i1","ko00051"
"17037","K09419","TRINITY_DN15493_c0_g1_i2","NA"
"17038","K01637","TRINITY_DN4794_c0_g1_i2","ko00630"
"17042","K03462","TRINITY_DN4741_c0_g1_i3","ko00760"
"17053","K09592","TRINITY_DN4720_c0_g1_i2","ko04066"
"17061","K05658","TRINITY_DN4790_c1_g1_i1","ko02010"
"17064","K00058","TRINITY_DN4721_c0_g1_i2","ko00260"
"17068","K12402","TRINITY_DN4764_c0_g1_i2","ko04142"
"17072","K18932","TRINITY_DN4733_c0_g1_i5","NA"
"17083","K18666","TRINITY_DN4757_c0_g1_i2","NA"
"17090","K10308","TRINITY_DN4707_c0_g2_i2","NA"
"17091","K15283","TRINITY_DN19542_c0_g1_i2","NA"
"17095","K22520","TRINITY_DN4759_c0_g1_i4","NA"
"17097","K21891","TRINITY_DN4762_c0_g1_i2","NA"
"17099","K14964","TRINITY_DN4724_c0_g2_i3","ko04934"
"17101","K09571","TRINITY_DN4791_c2_g2_i4","ko04915"
"17102","K17536","TRINITY_DN19547_c0_g1_i1","ko04013"
"17105","K08900","TRINITY_DN4763_c0_g1_i1","NA"
"17106","K01870","TRINITY_DN4737_c0_g2_i2","ko00970"
"17108","K00958","TRINITY_DN4750_c0_g1_i4","ko00230"
"17109","K03514","TRINITY_DN4761_c0_g2_i1","ko03018"
"17113","K02971","TRINITY_DN19596_c0_g1_i2","ko03010"
"17114","K07199","TRINITY_DN4731_c0_g1_i2","ko04068"
"17116","K00645","TRINITY_DN4773_c0_g1_i1","ko00061"
"17117","K00645","TRINITY_DN4773_c0_g2_i1","ko00061"
"17119","K15516","TRINITY_DN4798_c0_g1_i2","ko03013"
"17128","K14965","TRINITY_DN4704_c0_g1_i4","NA"
"17135","K03437","TRINITY_DN4770_c0_g1_i1","NA"
"17140","K10494","TRINITY_DN4766_c0_g1_i3","NA"
"17141","K01834","TRINITY_DN4717_c1_g1_i1","ko00010"
"17142","K01834","TRINITY_DN4717_c0_g1_i1","ko00010"
"17143","K01834","TRINITY_DN4717_c0_g2_i1","ko00010"
"17144","K01834","TRINITY_DN4717_c0_g3_i1","ko00010"
"17145","K15502","TRINITY_DN19558_c0_g1_i1","NA"
"17147","K03834","TRINITY_DN4703_c0_g1_i1","NA"
"17155","K03687","TRINITY_DN39307_c0_g1_i1","NA"
"17156","K03237","TRINITY_DN39371_c0_g1_i1","ko03013"
"17159","K18995","TRINITY_DN39358_c0_g1_i1","NA"
"17161","K13811","TRINITY_DN39338_c0_g1_i1","ko00230"
"17166","K14950","TRINITY_DN39386_c0_g1_i1","NA"
"17169","K03190","TRINITY_DN39300_c0_g1_i1","NA"
"17172","K00428","TRINITY_DN39368_c0_g1_i1","NA"
"17180","K20899","TRINITY_DN39390_c0_g1_i1","ko04621"
"17182","K03178","TRINITY_DN40578_c0_g1_i1","ko04120"
"17184","K10473","TRINITY_DN40551_c0_g1_i1","NA"
"17186","K01366","TRINITY_DN40535_c0_g1_i1","ko04142"
"17188","K04437","TRINITY_DN40563_c0_g1_i1","ko04010"
"17189","K00133","TRINITY_DN40550_c0_g1_i1","ko00260"
"17191","K12396","TRINITY_DN40598_c0_g1_i1","ko04142"
"17194","K06875","TRINITY_DN40524_c0_g1_i1","NA"
"17196","K14786","TRINITY_DN40549_c0_g1_i1","NA"
"17198","K02138","TRINITY_DN40555_c0_g1_i1","ko00190"
"17201","K09490","TRINITY_DN40523_c0_g1_i1","ko03060"
"17204","K21806","TRINITY_DN40593_c0_g1_i1","NA"
"17205","K07964","TRINITY_DN40556_c0_g1_i1","ko00531"
"17206","K21769","TRINITY_DN40542_c0_g1_i1","ko04218"
"17214","K07950","TRINITY_DN1964_c0_g1_i1","NA"
"17215","K09553","TRINITY_DN1979_c0_g1_i1","ko05020"
"17219","K12736","TRINITY_DN1907_c0_g5_i1","NA"
"17224","K02895","TRINITY_DN1900_c0_g1_i4","ko03010"
"17232","K07304","TRINITY_DN1968_c0_g1_i1","NA"
"17233","K07304","TRINITY_DN1968_c0_g2_i1","NA"
"17234","K15272","TRINITY_DN1925_c0_g4_i1","NA"
"17237","K15272","TRINITY_DN1925_c0_g1_i2","NA"
"17242","K00392","TRINITY_DN1922_c1_g1_i4","ko00920"
"17245","K14439","TRINITY_DN1982_c0_g2_i1","ko04550"
"17248","K09452","TRINITY_DN1960_c2_g1_i1","NA"
